127,182,337,251,255,3,Good
96,172,321,245,249,3,Good
54,253,350,245,250,3,Good
1,0,0,2,52,2,Bad
88,1,1,693,684,694,Bad
2,1,1,326,323,105,Bad
3,1,1,16,65,92,Bad
2,0,1,3,51,105,Bad
2,1,1,575,572,2,Bad
2,1,1,3,52,3,Bad
2,1,0,3,51,3,Bad
2,18,1,420,410,109,Bad
3,121,75,693,683,3,Bad
2,174,1,692,682,669,Bad
3,164,1,692,682,593,Bad
2,1,1,452,448,138,Bad
147,80,1,3,51,3,Bad
44,87,1,3,51,3,Bad
145,1,1,430,401,295,Bad
182,28,34,239,244,159,Good
90,1,1,382,378,155,Good
151,1,47,268,270,173,Good
144,4,6,280,281,224,Good
140,1,6,279,281,181,Good
2,1,1,283,283,293,Bad
2,63,55,3,51,460,Bad
308,1,1,520,513,27,Bad
36,1,14,241,243,83,Bad
2,1,3,582,577,43,Bad
2,1,1,461,457,249,Bad
38,1,1,235,241,149,Bad
47,1,1,329,330,160,Bad
2,1,1,37,77,426,Bad
223,16,125,686,676,651,Good
216,25,154,688,679,671,Good
158,39,11,688,679,655,Good
149,27,2,689,680,656,Good
151,26,2,687,679,648,Good
130,2,2,690,680,674,Good
208,2,204,690,681,690,Bad
2,1,1,695,685,695,Bad
629,1,2,689,680,135,Bad
3,2,110,496,495,691,Bad
75,1,12,3,52,3,Bad
2,1,1,110,129,694,Bad
1,1,22,211,226,694,Bad
2,1,1,695,686,136,Bad
3,1,1,584,578,690,Bad
158,54,1,141,154,27,Good
173,46,1,4,51,3,Good
103,1,1,68,100,3,Bad
2,1,1,3,52,3,Bad
104,1,1,247,247,3,Bad
116,1,1,131,149,68,Good
2,1,1,203,234,118,Bad
2,1,1,128,150,168,Bad
119,1,98,174,186,108,Bad
176,11,1,178,194,69,Good
41,1,1,219,223,3,Bad
69,1,48,182,224,104,Bad
2,1,216,13,59,37,Bad
7,1,26,176,188,209,Good
39,1,78,188,197,218,Good
38,1,57,213,220,241,Good
2,1,1,228,235,291,Good
2,1,1,355,353,399,Good
3,1,66,95,125,165,Bad
3,1,86,228,235,54,Bad
3,1,1,275,275,288,Bad
3,1,1,292,293,393,Bad
2,1,1,31,73,258,Bad
149,1,2,425,417,44,Bad
3,1,1,319,317,192,Good
2,1,1,402,400,211,Good
82,1,1,442,436,248,Good
144,1,121,305,305,148,Bad
15,15,14,12,15,15,Bad
14,14,14,12,15,14,Bad
14,14,14,12,14,15,Bad
341,192,297,561,211,283,Good
297,101,344,494,273,281,Good
247,68,322,331,44,247,Bad
416,3,365,447,21,194,Bad
6,92,235,90,118,594,Bad
436,3,1,810,7,37,Bad
188,105,169,591,174,404,Good
283,162,261,486,282,296,Good
257,60,233,526,319,373,Good
288,115,372,469,248,265,Good
266,142,360,557,332,357,Good
13,9,9,591,60,486,Bad
13,9,9,602,116,589,Bad
3,1,1,766,97,124,Bad
5,1,1,193,32,547,Bad
13,9,274,82,29,531,Bad
13,9,557,150,10,442,Bad
6,1,1,736,18,670,Bad
420,127,340,1024,405,939,Good
9,1,316,808,241,1024,Bad
511,5,1,1024,350,554,Bad
223,3,161,1024,426,925,Good
526,14,171,1024,326,933,Bad
16,9,9,1024,126,1024,Bad
550,63,138,1024,330,1024,Bad
9,1,365,1024,331,1024,Bad
40,1,1,1024,451,1024,Bad
222,283,76,200,3,156,Good
10,8,9,289,12,181,Good
350,57,39,223,3,108,Bad
151,245,32,211,12,171,Bad
238,272,3,330,4,86,Bad
319,190,2,664,22,4,Bad
314,235,2,653,12,3,Bad
290,3,65,184,3,68,Bad
121,212,10,153,10,19,Good
10,8,27,14,8,137,Bad
69,150,10,292,12,134,Good
22,21,22,21,22,22,Bad
16,16,16,14,17,17,Bad
16,16,16,14,16,16,Bad
20,20,20,17,20,20,Good
6,1,1,4,1000,732,Bad
9,9,8,571,34,10,Bad
5,1,2,4,472,397,Bad
427,141,446,10,9,10,Bad
13,8,233,10,9,524,Bad
350,3,1,84,772,252,Bad
65,2,208,386,245,615,Bad
4,298,108,4,61,327,Bad
159,126,842,4,96,50,Bad
46,8,184,180,220,658,Bad
113,10,109,205,29,289,Good
5,2,826,163,351,204,Bad
67,14,505,365,18,429,Good
405,118,1024,10,9,10,Bad
12,8,721,10,9,356,Bad
4,81,582,150,25,193,Good
20,102,650,129,27,201,Good
4,97,528,151,50,188,Good
4,126,498,166,62,221,Good
4,58,537,142,51,195,Good
